# this file is a copy of the TLS one, with small modifications made by looking at SSL3-related RFCs and documents
Value,Description,,Reference
"0xC0,0x19",SSL_ECDH_anon_WITH_AES_256_CBC_SHA,Y,[RFC4492]
"0xC0,0x1A",SSL_SRP_SHA_WITH_3DES_EDE_CBC_SHA,Y,[RFC5054]
"0xC0,0x1B",SSL_SRP_SHA_RSA_WITH_3DES_EDE_CBC_SHA,Y,[RFC5054]
"0xC0,0x1C",SSL_SRP_SHA_DSS_WITH_3DES_EDE_CBC_SHA,Y,[RFC5054]
"0xC0,0x1D",SSL_SRP_SHA_WITH_AES_128_CBC_SHA,Y,[RFC5054]
"0xC0,0x1E",SSL_SRP_SHA_RSA_WITH_AES_128_CBC_SHA,Y,[RFC5054]
"0xC0,0x1F",SSL_SRP_SHA_DSS_WITH_AES_128_CBC_SHA,Y,[RFC5054]
"0xC0,0x20",SSL_SRP_SHA_WITH_AES_256_CBC_SHA,Y,[RFC5054]
"0xC0,0x21",SSL_SRP_SHA_RSA_WITH_AES_256_CBC_SHA,Y,[RFC5054]
"0xC0,0x22",SSL_SRP_SHA_DSS_WITH_AES_256_CBC_SHA,Y,[RFC5054]
"0xC0,0x23",SSL_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,Y,[RFC5289]
"0xC0,0x24",SSL_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,Y,[RFC5289]
"0xC0,0x25",SSL_ECDH_ECDSA_WITH_AES_128_CBC_SHA256,Y,[RFC5289]
"0xC0,0x26",SSL_ECDH_ECDSA_WITH_AES_256_CBC_SHA384,Y,[RFC5289]
"0xC0,0x27",SSL_ECDHE_RSA_WITH_AES_128_CBC_SHA256,Y,[RFC5289]
"0xC0,0x28",SSL_ECDHE_RSA_WITH_AES_256_CBC_SHA384,Y,[RFC5289]
"0xC0,0x29",SSL_ECDH_RSA_WITH_AES_128_CBC_SHA256,Y,[RFC5289]
"0xC0,0x2A",SSL_ECDH_RSA_WITH_AES_256_CBC_SHA384,Y,[RFC5289]
"0xC0,0x2B",SSL_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,Y,[RFC5289]
"0xC0,0x2C",SSL_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,Y,[RFC5289]
"0xC0,0x2D",SSL_ECDH_ECDSA_WITH_AES_128_GCM_SHA256,Y,[RFC5289]
"0xC0,0x2E",SSL_ECDH_ECDSA_WITH_AES_256_GCM_SHA384,Y,[RFC5289]
"0xC0,0x2F",SSL_ECDHE_RSA_WITH_AES_128_GCM_SHA256,Y,[RFC5289]
"0xC0,0x30",SSL_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Y,[RFC5289]
"0xC0,0x31",SSL_ECDH_RSA_WITH_AES_128_GCM_SHA256,Y,[RFC5289]
"0xC0,0x32",SSL_ECDH_RSA_WITH_AES_256_GCM_SHA384,Y,[RFC5289]
"0xC0,0x33",SSL_ECDHE_PSK_WITH_RC4_128_SHA,N,[RFC5489][RFC6347]
"0xC0,0x34",SSL_ECDHE_PSK_WITH_3DES_EDE_CBC_SHA,Y,[RFC5489]
"0xC0,0x35",SSL_ECDHE_PSK_WITH_AES_128_CBC_SHA,Y,[RFC5489]
"0xC0,0x36",SSL_ECDHE_PSK_WITH_AES_256_CBC_SHA,Y,[RFC5489]
"0xC0,0x37",SSL_ECDHE_PSK_WITH_AES_128_CBC_SHA256,Y,[RFC5489]
"0xC0,0x38",SSL_ECDHE_PSK_WITH_AES_256_CBC_SHA384,Y,[RFC5489]
"0xC0,0x39",SSL_ECDHE_PSK_WITH_NULL_SHA,Y,[RFC5489]
"0xC0,0x3A",SSL_ECDHE_PSK_WITH_NULL_SHA256,Y,[RFC5489]
"0xC0,0x3B",SSL_ECDHE_PSK_WITH_NULL_SHA384,Y,[RFC5489]
"0xC0,0x3C",SSL_RSA_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x3D",SSL_RSA_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x3E",SSL_DH_DSS_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x3F",SSL_DH_DSS_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x40",SSL_DH_RSA_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x41",SSL_DH_RSA_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x42",SSL_DHE_DSS_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x43",SSL_DHE_DSS_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x44",SSL_DHE_RSA_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x45",SSL_DHE_RSA_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x46",SSL_DH_anon_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x47",SSL_DH_anon_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x48",SSL_ECDHE_ECDSA_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x49",SSL_ECDHE_ECDSA_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x4A",SSL_ECDH_ECDSA_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x4B",SSL_ECDH_ECDSA_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x4C",SSL_ECDHE_RSA_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x4D",SSL_ECDHE_RSA_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x4E",SSL_ECDH_RSA_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x4F",SSL_ECDH_RSA_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x50",SSL_RSA_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x51",SSL_RSA_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x52",SSL_DHE_RSA_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x53",SSL_DHE_RSA_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x54",SSL_DH_RSA_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x55",SSL_DH_RSA_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x56",SSL_DHE_DSS_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x57",SSL_DHE_DSS_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x58",SSL_DH_DSS_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x59",SSL_DH_DSS_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
